NOMBRE                              TIPO DE DATO     VALOR                               LONGITUD                           
a                                   FLOAT                                                0                                  
b                                   FLOAT                                                0                                  
c                                   FLOAT                                                0                                  
d                                   FLOAT                                                0                                  
numero1                             FLOAT                                                0                                  
numero2                             FLOAT                                                0                                  
PEPE                                STRING                                               0                                  
mensaje                             STRING                                               0                                  
prueba                              STRING                                               0                                  
numero3                             INTEGER                                              0                                  
numero4                             INTEGER                                              0                                  
hola                                INTEGER                                              0                                  
saldos                              INTEGER                                              0                                  
saldo                               INTEGER                                              0                                  
variable                            INTEGER                                              0                                  
2555                                CONST_ENTERA     2555                                0                                  
99.99                               CONST_FLOTANTE   99.99                               0                                  
4                                   CONST_ENTERA     4                                   0                                  
234                                 CONST_ENTERA     234                                 0                                  
423                                 CONST_ENTERA     423                                 0                                  
7124                                CONST_ENTERA     7124                                0                                  
9421                                CONST_ENTERA     9421                                0                                  
35                                  CONST_ENTERA     35                                  0                                  
5                                   CONST_ENTERA     5                                   0                                  
346                                 CONST_ENTERA     346                                 0                                  
535                                 CONST_ENTERA     535                                 0                                  
2                                   CONST_ENTERA     2                                   0                                  
544                                 CONST_ENTERA     544                                 0                                  
HOLAdsadasd                         CONST_CADENA     "HOLAdsadasd"                       11                                 
0                                   CONST_ENTERA     0                                   0                                  
85                                  CONST_ENTERA     85                                  0                                  
Le_queda_poco_saldo                 CONST_CADENA     "Le queda poco saldo"               19                                 
Hola_mundoWWWWEWEQW                 CONST_CADENA     "Hola mundoWWWWEWEQW"               19                                 
ESTOY_EN_EL_WHILEE                  CONST_CADENA     "ESTOY EN EL WHILEE"                18                                 
Q_UE_ONDAAAA                        CONST_CADENA     "Q UE ONDAAAA"                      12                                 
Hola_mundo                          CONST_CADENA     "Hola mundo"                        10                                 
1                                   CONST_ENTERA     1                                   0                                  
funciona_el_if_wiii                 CONST_CADENA     "funciona el if wiii"               19                                 
agggg_no_funciona                   CONST_CADENA     "agggg no funciona"                 17                                 
123                                 CONST_ENTERA     123                                 0                                  
probemos_el_NOT_condicion           CONST_CADENA     "probemos el NOT condicion"         25                                 
while_con_saltos                    CONST_CADENA     "while con saltos"                  16                                 
267                                 CONST_ENTERA     267                                 0                                  
145                                 CONST_ENTERA     145                                 0                                  
while_con_saltos_y_OR               CONST_CADENA     "while con saltos y OR"             21                                 
2.3                                 CONST_FLOTANTE   2.3                                 0                                  
11.22                               CONST_FLOTANTE   11.22                               0                                  
caso_1                              CONST_CADENA     "caso 1"                            6                                  
funciona_el_bet?                    CONST_CADENA     "funciona el bet?"                  16                                 
caso_2                              CONST_CADENA     "caso 2"                            6                                  
caso_3                              CONST_CADENA     "caso 3"                            6                                  
caso_4                              CONST_CADENA     "caso 4"                            6                                  
